Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,State,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,Loan Status
24011,32923,45 months,12.66%,922.7569485,BE,Not available,Under Mortgage,427926,Verified,30-12-2011,Others,Rajasthan,22.09110703,0,10-04-2002,,,9,0,264810,0.56562955,15,0,01-11-2014,922.7569485,???
24012,32959,42 months,7.73%,898.1948645,AB,10 years and above,Rental,603328,Not Verified,29-07-2009,Medical,Uttar Pradesh,0.221655503,0,23-04-2000,,,6,0,4582,0.009180045,14,0,01-11-2012,1040.534864,???
24013,55153,48 months,14.25%,1514.151713,CB,5 years,Under Mortgage,674965,Not Verified,02-01-2012,Home Renovation,Tamil Nadu,21.49574584,0,14-06-1999,,,12,0,182730,0.916153401,24,0,01-06-2014,1514.151713,???
24014,131824,60 months,12.47%,2963.881033,BD,10 years and above,Rental,630163,Verified,26-12-2011,Pay Credit Card Bill,Bihar,6.87777921,0,23-07-2000,,,10,0,69290,0.21638465,14,0,01-09-2015,2963.881033,???
24015,54866,50 months,13.67%,1445.49363,CE,8 years,Rental,397224,Not Verified,20-02-2011,Medical,Karnataka,4.897727505,0,19-02-2004,30,,13,0,43891,0.226822488,19,0,01-12-2011,1445.49363,???
24016,22130,39 months,7.34%,639.5256308,AD,8 years,Under Mortgage,654532,Not Verified,28-03-2011,Start Business,Kerala,20.15820764,0,10-03-1998,,,8,0,179882,0.692662917,25,0,01-03-2014,2041.695631,???
24017,164883,40 months,13.69%,5157.320493,CB,Less than 1 year,Rental,873580,Source Verified,23-07-2011,Start Business,Dadra and Nagar Haveli,3.230738777,0,01-11-1999,,95,2,1,30655,0.802097011,19,0,01-02-2012,151081.3405,???
24018,110022,48 months,7.72%,2671.404876,AC,10 years and above,Under Mortgage,319895,Not Verified,24-02-2010,Agriculture,Assam,21.65003566,0,06-05-1998,,,8,0,29380,0.048127371,15,0,01-12-2012,42264.25488,???
24019,92227,40 months,6.21%,2558.629566,AA,9 years,Under Mortgage,518862,Not Verified,08-11-2011,Pay-off Other Loans,Jharkhand,13.21910082,0,10-06-1999,,,7,0,149585,0.451567903,22,0,01-03-2014,29960.72957,???
24020,159384,37 months,12.62%,5222.429952,CB,Not available,Rental,960921.93,Verified,27-12-2010,Pay-off Other Loans,Jharkhand,20.30968972,0,16-09-1994,,,15,0,532135,0.865388548,20,0,01-11-2011,1262.429952,???
24021,150790,60 months,11.18%,3292.352618,BC,7 years,Under Mortgage,870377,Verified,29-10-2011,Pay-off Other Loans,Nagaland,29.74167916,0,24-02-1982,,,18,0,511048,0.656843216,48,0,01-09-2015,3292.352618,???
24022,158468,58 months,17.48%,4065.397298,ED,3 years,Rental,664319,Verified,17-11-2010,Pay-off Other Loans,Bihar,7.001601946,1,21-11-2000,26,,6,0,7552,0.564809397,33,0,01-09-2010,4065.397298,???
24023,54804,45 months,7.02%,1388.84004,AC,6 years,Rental,655392,Not Verified,11-07-2011,Agriculture,Uttar Pradesh,23.24475807,0,30-03-1997,79,,14,0,69814,0.189424124,44,0,01-03-2015,1443.07004,???
24024,79119,44 months,12.77%,2261.134611,BE,3 years,Rental,580169,Not Verified,03-10-2011,Pay Credit Card Bill,Assam,5.345201462,0,06-04-1996,,,6,0,99556,0.791395227,8,0,01-05-2013,39539.80461,???
24025,70232,45 months,7.91%,1808.754318,AC,Less than 1 year,Own,179985,Not Verified,19-02-2010,Pay-off Other Loans,Tripura,12.65398338,1,26-06-1994,17,,7,0,84020,0.305446573,12,0,01-09-2013,1852.644318,???
24026,36972,42 months,9.79%,1043.294385,AE,4 years,Rental,846904,Not Verified,09-03-2009,Education,Uttar Pradesh,7.694864231,0,27-03-2000,,,15,0,161276,0.55332868,26,0,01-08-2010,9009.384385,???
24027,137446,50 months,13.11%,3582.377019,CA,2 years,Under Mortgage,601733,Verified,31-07-2010,Pay-off Other Loans,Odisha,18.15588499,0,23-02-2002,,,19,0,124118,0.170679029,63,0,01-11-2012,59948.35702,???
24028,231180,55 months,18.17%,6223.663439,DE,6 years,Under Mortgage,1091090,Verified,11-12-2011,Start Business,Uttar Pradesh,13.50282086,0,22-06-1995,,,18,0,152325,0.76805486,22,0,01-04-2014,6223.663439,???
24029,43851,45 months,7.06%,1111.915128,AC,Less than 1 year,Rental,542059,Source Verified,21-05-2011,Purchase Car,Maharashtra,0.706613562,0,06-02-2007,,,5,0,3955,0.150519035,6,0,01-05-2012,40668.46513,???
24030,132095,43 months,13.10%,3865.386396,CC,2 years,Rental,942028,Not Verified,05-02-2009,Marriage,Uttar Pradesh,11.70239421,0,30-03-1999,,,11,0,0,,40,0,01-01-2012,14463.7764,???
24031,22142,45 months,14.58%,641.6621854,DA,1 year,Rental,264566,Not Verified,16-11-2009,Education,West Bengal,14.42892133,0,07-07-2006,,,5,0,2459,0.887481282,3,0,01-07-2013,668.9421854,???
24032,26279,48 months,13.87%,716.4065404,CD,1 year,Under Mortgage,333889,Not Verified,11-03-2011,Pay-off Other Loans,West Bengal,5.388310894,0,05-02-2008,,,5,0,46697,0.623998539,4,0,01-02-2015,753.6965404,???
24033,33364,48 months,10.84%,859.6667879,BC,10 years and above,Under Mortgage,841654,Source Verified,02-07-2011,Pay-off Other Loans,Maharashtra,17.59933054,0,04-03-1994,,105,14,1,232394,0.68178502,25,0,01-09-2014,859.6667879,???
24034,55111,55 months,10.85%,1276.281463,BD,Not available,Own,532227,Not Verified,10-04-2011,Pay-off Other Loans,Manipur,19.54309259,0,28-08-1982,33,,5,0,4314,0.038000256,28,0,01-04-2013,31552.57146,???
24035,71649,38 months,11.34%,2253.13039,CB,10 years and above,Under Mortgage,1021222,Not Verified,16-07-2008,Pay Credit Card Bill,Mizoram,2.754554081,0,07-04-1998,75,,14,0,360524,0.631303631,27,0,01-04-2009,59887.96039,???
24036,101103,51 months,12.81%,2581.25281,CB,3 years,Rental,779535,Source Verified,20-01-2011,Pay Credit Card Bill,Uttar Pradesh,17.25968821,0,26-02-2004,,,15,0,318326,0.715149613,24,0,01-11-2013,34439.12281,???
24037,60594,45 months,5.97%,1506.348706,AB,1 year,Rental,227735,Verified,16-12-2010,Others,Kerala,14.0983634,0,01-05-1989,,,8,0,129574,0.353614869,35,0,01-08-2014,1738.118706,???
24038,54999,45 months,6.57%,1382.2266,AB,1 year,Under Mortgage,442624,Source Verified,14-01-2012,Home Renovation,Karnataka,7.837634309,0,10-04-2001,,,5,0,35992,0.199685675,31,0,01-12-2014,14680.1266,???
24039,190657,47 months,18.14%,5696.44567,GD,6 years,Under Mortgage,1272085,Not Verified,07-03-2008,Pay-off Other Loans,Madhya Pradesh,21.17693885,0,22-12-1988,48,0,38,0,813563,0.624611209,61,0,01-12-2011,5945.81567,???
24040,197806,51 months,14.14%,5181.74659,CC,10 years and above,Under Mortgage,832764,Source Verified,09-07-2011,Pay-off Other Loans,Goa,18.5037894,0,14-06-2000,,,12,0,70168,0.337471242,85,0,01-10-2011,111889.3366,???
24041,30159,38 months,12.83%,969.9792546,DA,2 years,Under Mortgage,643425,Not Verified,01-11-2008,Pay Credit Card Bill,West Bengal,13.07681749,0,11-04-2002,70,,12,0,33438,0.443610025,21,0,01-04-2011,7794.929255,???
24042,275009,43 months,13.23%,8065.800157,CB,8 years,Rental,734701,Verified,02-04-2011,Pay Credit Card Bill,Bihar,15.34330132,1,03-12-1994,9,,6,0,10718,0.214142842,18,0,01-08-2012,210330.6102,???
24043,281553,41 months,16.03%,8962.455007,CE,2 years,Rental,1334582,Verified,19-01-2012,Pay-off Other Loans,Uttar Pradesh,18.30182753,0,10-04-1996,,,11,0,381723,0.724885752,46,0,01-07-2014,92800.71501,???
24044,60636,45 months,10.27%,1629.312619,BB,6 years,Under Mortgage,999077,Verified,15-05-2010,Pay-off Other Loans,Maharashtra,6.907242216,0,19-12-1996,46,,16,0,78527,0.398637509,39,0,01-12-2013,1979.222619,???
24045,220108,60 months,14.75%,5206.996944,CC,1 year,Under Mortgage,714741,Verified,30-11-2011,Pay-off Other Loans,Tripura,26.79177376,0,03-04-1997,,,13,0,236533,0.681173465,34,0,01-09-2015,5206.996944,???
24046,88099,43 months,14.21%,2626.189997,CB,Less than 1 year,Rental,554063,Source Verified,06-12-2011,Pay Credit Card Bill,Uttar Pradesh,19.49787138,0,16-01-2000,78,,11,0,84319,0.810148282,16,0,01-06-2015,2732.889997,???
24047,16493,42 months,11.74%,480.7805004,BC,2 years,Rental,523085,Source Verified,15-10-2011,Others,West Bengal,1.084281257,0,21-02-1996,33,,3,0,7306,0.15470484,16,0,01-03-2015,537.5405004,???
24048,132149,43 months,18.46%,4223.988589,GD,6 years,Rental,672169,Not Verified,27-03-2008,Pay-off Other Loans,Himachal Pradesh,25.30849224,0,20-12-1995,58,0,16,0,149686,0.571308342,42,0,01-08-2011,4391.848589,???
24049,11152,43 months,10.92%,314.5760568,BE,3 years,Own,182048,Not Verified,04-05-2011,Purchase Car,Bihar,5.159716056,0,09-06-2005,38,,13,0,34474,0.892822002,22,0,01-05-2013,5963.406057,???
24050,110190,36 months,15.21%,3831.161153,DC,2 years,Own,309179,Not Verified,10-06-2010,Pay Credit Card Bill,Uttar Pradesh,17.86202318,0,09-01-2000,,,6,0,181216,0.966908764,8,0,01-05-2013,3918.171153,???
24051,130733,37 months,7.67%,3978.606557,AE,2 years,Rental,377978,Verified,27-05-2011,Pay-off Other Loans,West Bengal,18.73973901,0,20-10-2001,,,8,0,125630,0.391957052,24,0,01-05-2013,47452.03656,???
24052,75602,48 months,11.72%,1980.40235,BE,5 years,Rental,882989,Source Verified,14-10-2010,Marriage,Uttar Pradesh,5.703416019,0,19-03-2001,59,,7,0,12725,0.242629608,17,0,01-09-2014,2113.06235,???
24053,132072,54 months,16.77%,3500.200688,DB,10 years and above,Under Mortgage,1027736,Verified,15-12-2011,Pay-off Other Loans,Madhya Pradesh,19.94875791,0,28-03-1996,,,18,0,856735,0.957817366,42,0,01-01-2012,3500.200688,???
24054,208842,46 months,9.85%,5469.282519,BA,10 years and above,Under Mortgage,1252801,Verified,20-10-2011,Pay-off Other Loans,Jharkhand,23.95307646,1,27-07-1992,24,,11,0,419793,0.796020923,49,0,01-06-2015,5659.912519,???
24055,131993,47 months,6.57%,3192.774943,AB,4 years,Rental,986597,Source Verified,03-11-2011,Pay-off Other Loans,West Bengal,10.36907663,0,22-09-2002,,,8,0,185181,0.47893938,9,0,01-09-2015,3247.664943,???
24056,66115,60 months,20.64%,1775.317535,FB,10 years and above,Rental,401929,Verified,07-07-2011,Start Business,Tamil Nadu,2.479374248,0,13-04-2004,,,6,0,6806,0.068101328,12,0,01-09-2015,1775.317535,???
24057,115663,54 months,15.99%,3017.923816,DD,4 years,Under Mortgage,929536,Verified,09-10-2010,Pay Credit Card Bill,Maharashtra,18.1749195,0,10-02-2003,51,,6,0,122408,0.798386471,22,0,01-11-2013,43385.83382,???
24058,220194,60 months,16.14%,5371.551426,DB,7 years,Own,614226,Verified,13-10-2011,Pay-off Other Loans,Uttar Pradesh,12.71967999,0,15-01-2001,79,,6,0,22541,0.393888592,15,0,01-09-2015,5371.551426,???
24059,65953,37 months,10.47%,2093.343467,BB,10 years and above,Rental,877382,Source Verified,25-09-2011,Holiday,Uttar Pradesh,17.10044524,0,05-11-1983,48,,6,0,699,0.397539932,26,0,01-09-2014,2219.623467,???
24060,55109,45 months,15.60%,1625.328433,DE,8 years,Rental,661269,Source Verified,07-12-2010,Pay Credit Card Bill,Uttar Pradesh,17.06124961,0,04-01-1998,40,,6,0,329123,0.9732873,15,0,01-08-2014,1762.828433,???
24061,87829,60 months,16.31%,2150.171606,EA,6 years,Under Mortgage,1643363,Verified,17-05-2011,Home Renovation,Odisha,10.29761972,0,30-03-1999,74,93,13,1,151985,0.480242161,21,0,01-03-2015,26173.51161,???
24062,219832,38 months,12.88%,7075.052941,CB,3 years,Under Mortgage,773580,Verified,04-04-2009,Start Business,Jharkhand,17.13808603,0,15-12-1995,,,18,0,47065,0.054900957,22,0,01-04-2012,7096.722941,???
24063,83077,45 months,9.94%,2218.922014,BA,10 years and above,Under Mortgage,347651,Not Verified,23-07-2011,Pay-off Other Loans,Andhra Pradesh,28.07337077,0,20-06-1996,,,10,0,96760,0.277085721,16,0,01-11-2014,12989.68201,???
24064,16622,46 months,9.76%,434.6137953,BA,Not available,Rental,323182,Source Verified,09-03-2011,Start Business,Sikkim,22.1144444,0,14-08-1982,,,5,0,0,0,8,0,01-08-2014,434.6137953,???
24065,219821,43 months,14.48%,6582.548179,CD,10 years and above,Under Mortgage,2214555,Verified,08-08-2010,Home Renovation,Karnataka,24.09824731,0,07-06-1995,,,17,0,936224,0.775930903,35,0,01-09-2012,122577.5482,???
24066,110129,39 months,7.15%,3173.065961,AC,5 years,Under Mortgage,1643274,Verified,26-04-2010,Holiday,Odisha,1.171286659,0,15-05-1994,,,13,0,33741,0.095141139,31,0,01-06-2013,3425.295961,???
24067,138556,48 months,9.97%,3512.148097,BA,2 years,Under Mortgage,473726,Source Verified,06-09-2011,Pay-off Other Loans,Maharashtra,19.26281538,0,19-04-1997,79,,10,0,113456,0.688666584,40,0,01-07-2015,3762.838097,???
24068,110170,41 months,13.21%,3353.407674,CB,8 years,Under Mortgage,1702696,Verified,13-04-2011,Pay-off Other Loans,Kerala,11.23825936,0,15-09-1988,69,,7,0,498786,0.897679873,17,0,01-10-2012,75684.12767,???
24069,16372,46 months,10.94%,437.3704262,BA,10 years and above,Under Mortgage,1064551,Verified,02-06-2009,Others,West Bengal,7.864452911,0,22-09-1995,53,,7,0,109639,0.449705593,41,0,01-02-2013,525.9204262,???
24070,165151,40 months,6.68%,4616.80595,AD,10 years and above,Under Mortgage,645543,Verified,04-01-2011,Pay-off Other Loans,Madhya Pradesh,15.52538904,0,01-04-1996,,,7,0,129,0.002040936,18,0,01-10-2011,140121.7359,???
24071,164965,44 months,14.11%,4823.497412,DA,5 years,Under Mortgage,2264774,Verified,21-08-2009,Others,Kerala,23.69320535,0,08-11-1971,,,21,0,5597734,0.901630321,43,202.6398528,01-12-2011,825.6574123,???
24072,54894,45 months,7.71%,1408.682361,AD,2 years,Rental,289840,Not Verified,16-01-2012,Holiday,Tripura,18.82195942,0,07-01-2004,,,4,0,30218,0.406855253,5,0,01-04-2014,27522.46236,???
24073,266572,47 months,12.76%,7235.949861,CA,Less than 1 year,Rental,1102439,Not Verified,23-02-2010,Pay-off Other Loans,Odisha,13.47932055,0,21-05-2002,,,15,0,309029,0.562328057,22,0,01-12-2013,5000.639861,???
24074,55013,60 months,10.62%,1185.620542,BD,4 years,Under Mortgage,850694,Source Verified,12-02-2011,Purchase Car,Maharashtra,14.38388241,0,29-05-2005,37,,5,0,40265,0.814706103,10,0,01-09-2015,1185.620542,???
24075,132028,38 months,12.55%,4228.457794,BD,5 years,Rental,769345,Not Verified,16-01-2012,Marriage,West Bengal,19.27670173,1,21-09-1997,22,,13,0,223728,0.70159012,29,0,01-04-2012,4228.457794,???
24076,165117,40 months,12.84%,5095.519046,CA,3 years,Rental,799789,Not Verified,18-04-2011,Pay-off Other Loans,Kerala,16.73411072,0,23-03-2005,,,8,0,164856,0.55973412,23,0,01-01-2012,55233.62905,???
24077,219839,40 months,12.88%,6788.659708,CA,4 years,Under Mortgage,1483602,Not Verified,04-02-2010,Start Business,Uttar Pradesh,7.556369115,0,26-03-1993,,,9,0,174125,0.98464272,32,386.0384321,01-06-2013,514.47,???
24078,22136,47 months,11.24%,584.4042896,CB,1 year,Rental,449042,Not Verified,05-02-2008,Pay-off Other Loans,Uttar Pradesh,9.494501833,0,13-05-2007,0,0,3,0,0,0,5,150.8193513,01-12-2011,79.42,???
24079,131814,60 months,11.32%,2887.093459,BD,10 years and above,Under Mortgage,480529,Not Verified,15-07-2011,Pay-off Other Loans,Manipur,25.21463053,0,15-07-1995,,,11,0,167785,0.618969324,32,0,01-09-2015,2887.093459,???
24080,109970,39 months,6.57%,3138.927538,AD,6 years,Under Mortgage,1009714,Verified,05-11-2010,Pay Credit Card Bill,Uttar Pradesh,10.091926,0,09-05-1997,,,14,0,249468,0.332032239,32,0,01-06-2013,58.04753837,???
24081,32892,44 months,16.51%,1001.443582,FB,Less than 1 year,Rental,608133,Not Verified,06-09-2008,Education,Uttar Pradesh,25.66131863,0,18-02-1994,,,5,0,214498,0.902311315,7,0,01-03-2012,1000.013582,???
24082,330055,60 months,14.18%,7711.127567,CB,5 years,Under Mortgage,1122068,Source Verified,23-10-2011,Pay-off Other Loans,Karnataka,18.65391508,0,06-08-1988,,,17,0,246886,0.432175356,47,0,01-09-2015,7711.127567,???
24083,61632,41 months,8.61%,1740.625984,AD,Less than 1 year,Rental,1516034,Not Verified,01-11-2009,Marriage,Uttar Pradesh,12.11994161,0,23-01-1992,,,8,0,419004,0.790337597,36,321.7026369,01-08-2010,3852.845984,???
24084,308159,53 months,14.84%,7961.491708,DB,10 years and above,Rental,747668,Verified,27-04-2011,Pay-off Other Loans,Maharashtra,17.69465981,0,18-07-1994,,,8,0,370888,0.716001073,17,0,01-02-2013,190249.9717,???
24085,253174,40 months,9.77%,7440.91771,BC,9 years,Rental,739486,Verified,01-02-2011,Pay-off Other Loans,West Bengal,6.90401011,0,21-12-1996,,,7,0,245112,0.891863606,16,0,01-08-2011,235847.9977,???
24086,54899,59 months,15.33%,1330.574837,DB,Not available,Under Mortgage,238467,Not Verified,05-09-2010,Pay-off Other Loans,West Bengal,10.92510153,1,09-06-1996,13,,7,0,100287,0.749273182,18,0,01-04-2011,49839.58484,???
24087,76909,46 months,7.02%,1911.721818,AC,1 year,Under Mortgage,992099,Not Verified,19-09-2011,Pay-off Other Loans,Himachal Pradesh,13.52186542,0,17-05-2002,,,8,0,94003,0.63120426,20,0,01-09-2013,12720.65182,???
24088,198117,60 months,19.51%,5194.636664,EC,6 years,Under Mortgage,609003,Source Verified,26-01-2012,Pay-off Other Loans,Maharashtra,13.17183536,0,07-06-2001,,,20,0,216833,0.484652602,37,0,01-09-2015,5194.636664,???
24089,26289,38 months,10.40%,814.982301,BB,1 year,Rental,304975.84,Not Verified,16-08-2011,Pay-off Other Loans,Uttar Pradesh,8.654955262,1,29-01-2005,10,,8,0,14352,0.52554646,12,0,01-10-2013,9853.792301,???
24090,52200,37 months,9.28%,1627.733919,AD,Less than 1 year,Rental,195857,Verified,26-06-2009,Education,Tamil Nadu,18.29047191,0,02-02-2003,,,18,0,10056,0.061525143,35,0,01-06-2012,1928.143919,???
24091,132157,48 months,7.44%,3191.925628,AD,8 years,Under Mortgage,1547352,Source Verified,14-02-2011,Pay-off Other Loans,Andhra Pradesh,9.927951027,0,15-01-1991,,,10,0,1108220,0.488675846,31,0,01-01-2015,3493.105628,???
24092,88019,42 months,6.57%,2351.647894,AB,2 years,Rental,706517,Source Verified,19-12-2011,Start Business,West Bengal,11.49908249,0,19-12-2006,,,8,0,35778,0.232348907,13,0,01-12-2013,46080.49789,???
24093,76963,43 months,7.52%,2047.442345,AD,5 years,Rental,408691,Not Verified,07-02-2010,Education,Odisha,17.23222627,0,23-11-2005,,,13,0,29509,0.105109896,21,0,01-08-2013,2302.312345,???
24094,44116,45 months,11.28%,1206.879846,BE,10 years and above,Rental,475421,Source Verified,26-05-2011,Pay-off Other Loans,Uttar Pradesh,9.397716017,0,21-03-2000,32,94,4,1,28271,0.807978939,19,0,01-12-2014,1451.629846,???
24095,264193,60 months,12.82%,5986.358032,CA,3 years,Rental,1173070,Verified,29-06-2011,Pay Credit Card Bill,Uttar Pradesh,18.29754746,0,28-12-1972,,,11,0,121342,0.419431085,20,0,01-09-2015,5986.358032,???
24096,26336,37 months,8.07%,806.4136112,AE,Less than 1 year,Rental,579967,Source Verified,10-07-2010,Pay-off Other Loans,Uttar Pradesh,14.41489924,0,09-10-1979,32,,8,0,123240,0.493410557,12,0,01-12-2010,23242.56361,???
24097,98985,43 months,6.07%,2567.396083,AA,3 years,Rental,711851,Not Verified,22-11-2011,Marriage,Uttar Pradesh,6.69345479,0,19-02-2004,,,6,0,36959,0.226211931,14,0,01-04-2015,2608.646083,???
24098,123577,37 months,13.60%,4107.769691,CB,5 years,Under Mortgage,481100,Verified,26-07-2010,Pay-off Other Loans,Maharashtra,11.24150385,0,20-04-1997,48,,12,0,32462,0.358375929,22,0,01-07-2010,125079.3897,???
24099,77180,60 months,13.31%,1768.507615,CD,10 years and above,Rental,500474,Not Verified,18-01-2011,Pay Credit Card Bill,Bihar,22.60943435,0,08-01-1999,,88,16,1,187160,0.88243864,21,0,01-09-2015,1768.507615,???
24100,275036,37 months,15.00%,9330.566314,DD,2 years,Rental,1314837,Verified,15-05-2009,Others,Tamil Nadu,3.005749689,1,31-03-1999,6,,12,0,33995,0.0487699,21,0,01-10-2009,253115.8663,???
24101,65997,41 months,10.57%,1924.794161,BC,10 years and above,Rental,1248644,Verified,13-04-2011,Pay Credit Card Bill,Mizoram,6.68563024,0,16-11-1987,30,,9,0,60851,0.768460118,11,0,01-07-2014,1972.644161,???
24102,66026,54 months,15.49%,1705.470331,DE,Less than 1 year,Under Mortgage,1509573,Not Verified,22-12-2010,Pay Credit Card Bill,Odisha,17.6937076,0,07-01-1985,,,18,0,130662,0.664993671,40,0,01-02-2011,1705.470331,???
24103,46145,39 months,7.86%,1344.680764,AC,3 years,Rental,347401,Source Verified,04-07-2009,Pay-off Other Loans,Meghalaya,17.79477101,0,02-05-1987,,,14,0,11654,0.421484967,19,0,01-09-2012,1436.970764,???
24104,215306,60 months,18.84%,5566.391457,EA,10 years and above,Rental,374255,Verified,21-11-2011,Pay-off Other Loans,Uttarakhand,19.48135325,0,28-11-2001,,,5,0,256642,0.90283354,3,0,01-04-2015,88009.52146,???
24105,65805,39 months,12.93%,2075.50588,CA,3 years,Under Mortgage,416270,Source Verified,27-08-2011,Pay-off Other Loans,Madhya Pradesh,7.767645885,0,09-11-2004,,,8,0,49929,0.352911471,9,0,01-08-2013,5462.62588,???
24106,52860,43 months,12.95%,1543.10975,CB,10 years and above,Under Mortgage,395295,Source Verified,13-02-2011,Pay-off Other Loans,Chandigarh,17.1155157,1,29-03-2000,26,104,6,1,10369,0.863765307,25,0,01-09-2013,19982.40975,???
24107,82535,60 months,10.56%,1776.40463,BD,6 years,Under Mortgage,740396,Source Verified,15-04-2011,Pay-off Other Loans,Nagaland,15.20387328,0,07-03-1990,,,19,0,129484,0.452849501,41,0,01-09-2015,1776.40463,???
24108,109907,46 months,10.07%,2889.685818,BB,6 years,Rental,445018,Verified,07-02-2011,Pay Credit Card Bill,Bihar,23.52665668,0,30-04-2003,,,10,0,128231,0.84041504,22,0,01-11-2014,3186.465818,???
24109,151399,52 months,16.89%,4125.767538,EB,Less than 1 year,Under Mortgage,505641,Not Verified,26-09-2010,Pay-off Other Loans,Karnataka,22.4101767,0,08-12-2004,,,7,0,260595,0.691799077,13,0,01-02-2012,104968.1575,???
24110,38434,39 months,13.50%,1222.958241,CD,10 years and above,Under Mortgage,451758,Source Verified,14-01-2011,Pay-off Other Loans,Jammu and Kashmir,11.44284523,0,11-02-2001,73,79,8,1,37897,0.909458026,9,0,01-01-2013,2415.908241,???
24111,61411,40 months,15.71%,1982.082018,DD,1 year,Under Mortgage,1431112,Not Verified,05-11-2009,Pay-off Other Loans,Maharashtra,7.332709109,0,25-05-1990,36,,5,0,98540,0.936680629,10,0,01-01-2013,2140.372018,???
24112,164908,60 months,17.40%,4134.206508,DE,1 year,Under Mortgage,1118178,Verified,10-08-2011,Agriculture,West Bengal,23.00040064,0,23-08-1993,,,11,0,492324,0.957751941,59,0,01-01-2015,19450.49651,???
24113,33091,48 months,15.71%,932.9768145,DA,Less than 1 year,Rental,270950,Not Verified,27-07-2011,Pay-off Other Loans,Rajasthan,15.75460664,0,23-09-2006,27,,4,0,10363,0.928800574,12,0,01-11-2012,30235.76681,???
24114,55053,48 months,17.87%,1613.357851,EE,3 years,Rental,560205,Not Verified,16-05-2010,Agriculture,Himachal Pradesh,15.10494404,0,06-09-1999,48,,5,0,0,0,15,0,01-04-2012,40102.90785,???
